================================================================
   KREDENSIAL LOGIN SEMUA USERS - SITARADEV HOSPITAL SYSTEM
   Update: 2026-07-02
================================================================

----------------------------------------------------------------
STAFF / ADMIN
----------------------------------------------------------------

[SUPER ADMIN]
  Email    : superadmin@sitara.test
  Password : password123
  Role     : super_admin

[ADMIN KLINIK]
  Email    : admin@sitara.test
  Password : admin123
  Role     : admin

[DOKTER]
  Email    : mughni@gmail.test
  Password : password123
  Role     : dokter

[TERAPIS]
  Email    : terapis@sitara.test
  Password : password123
  Role     : terapis

----------------------------------------------------------------
PASIEN (501 akun) - Password semua: password123
----------------------------------------------------------------

FORMAT: Nama | Email

Rizky | rizky@test.com
Ahmad Fauzi Saputra | ahmadfauzisaputra1@pasien.test
Bunga Citra Pratama | bungacitrapratama2@pasien.test
Cahyo Pratama Nugroho | cahyopratamanugroho3@pasien.test
Dina Marlina Santoso | dinamarlinasantoso4@pasien.test
Eko Saputra Wijaya | ekosaputrawijaya5@pasien.test
Fitri Handayani Kusuma | fitrihandayanikusuma6@pasien.test
Gilang Ramadhan Lestari | gilangramadhanlestari7@pasien.test
Hani Rahmawati Dewi | hanirahmawatidewi8@pasien.test
Ivan Setiawan Sari | ivansetiawansari9@pasien.test
Julia Andriani Rahayu | juliaandrianirahayu10@pasien.test
Kevin Maulana Wati | kevinmaulanawati11@pasien.test
Lina Mardiana Ningrum | linamardiananingrum12@pasien.test
Muhamad Rizal Permata | muhamadrizalpermata13@pasien.test
Nina Amalia Indah | ninaamaliaindah14@pasien.test
Oscar Dermawan Putra | oscardermawanputra15@pasien.test
Putri Rahayu Saputra | putrirahayusaputra16@pasien.test
Qomaruddin Sidiq Pratama | qomaruddinsidiqpratama17@pasien.test
Rina Wulandari Nugroho | rinawulandarinugroho18@pasien.test
Sandi Pratama Santoso | sandipratamasantoso19@pasien.test
Tina Sumarni Wijaya | tinasumarniwijaya20@pasien.test
Umar Faruq Kusuma | umarfaruqkusuma21@pasien.test
Vera Handayani Lestari | verahandayanilestari22@pasien.test
Wahyu Setiawan Dewi | wahyusetiawandewi23@pasien.test
Yuli Astuti Sari | yuliastutisari24@pasien.test
Zaki Ramadhan Rahayu | zakiramadhanrahayu25@pasien.test
Aini Rahmah Wati | ainirahmahwati26@pasien.test
Bagus Nugroho Ningrum | bagusnugrohoningrum27@pasien.test
Cici Amelia Permata | ciciameliapermata28@pasien.test
Daffa Akbar Indah | daffaakbarindah29@pasien.test
Elsa Pertiwi Putra | elsapertiwiputra30@pasien.test
Fathur Rahman Saputra | fathurrahmansaputra31@pasien.test
Grace Adinda Pratama | graceadindapratama32@pasien.test
Haikal Aziz Nugroho | haikalaziznugroho33@pasien.test
Irma Suryani Santoso | irmasuryanisantoso34@pasien.test
Joni Pranata Wijaya | jonipranatawijaya35@pasien.test
Kiki Andriani Kusuma | kikiandrianikusuma36@pasien.test
Lukman Hakim Lestari | lukmanhakimlestari37@pasien.test
Mimi Sartika Dewi | mimisartikadewi38@pasien.test
Naufal Ihsan Sari | naufalihsansari39@pasien.test
Opi Rahayu Rahayu | opirahayurahayu40@pasien.test
Prasetyo Budi Wati | prasetyobudiwati41@pasien.test
Rere Anggraini Ningrum | rereanggraininingrum42@pasien.test
Satria Wibawa Permata | satriawibawapermata43@pasien.test
Tari Lestari Indah | tarilestariindah44@pasien.test
Udin Sobari Putra | udinsobariputra45@pasien.test
Vivi Septiani Saputra | viviseptianisaputra46@pasien.test
Wildan Maulana Pratama | wildanmaulanapratama47@pasien.test
Yaya Anggraeni Nugroho | yayaanggraeninugroho48@pasien.test
Zainal Abidin Santoso | zainalabidinsantoso49@pasien.test
Ayu Kartika Wijaya | ayukartikawijaya50@pasien.test
Bagas Prabowo Kusuma | bagasprabowokusuma51@pasien.test
Cantika Permata Lestari | cantikapermatalestari52@pasien.test
Dimas Aditya Dewi | dimasadityadewi53@pasien.test
Elva Silviana Sari | elvasilvianasari54@pasien.test
Farel Prayoga Rahayu | farelprayogarahayu55@pasien.test
Galuh Permatasari Wati | galuhpermatasariwati56@pasien.test
Hanif Mustofa Ningrum | hanifmustofaningrum57@pasien.test
Ika Ratnawati Permata | ikaratnawatipermata58@pasien.test
Jefri Andika Indah | jefriandikaindah59@pasien.test
Kezia Amanda Putra | keziaamandaputra60@pasien.test
Luthfi Mubarok Saputra | luthfimubaroksaputra61@pasien.test
Mira Santika Pratama | mirasantikapratama62@pasien.test
Nizar Habibi Nugroho | nizarhabibinugroho63@pasien.test
Olivia Rahayu Santoso | oliviarahayusantoso64@pasien.test
Pandu Wiratama Wijaya | panduwiratamawijaya65@pasien.test
Qonita Azzahra Kusuma | qonitaazzahrakusuma66@pasien.test
Reza Pahlevi Lestari | rezapahlevilestari67@pasien.test
